Text,Polarity,Label
things many sound plus air laying hearing relax facing conditioning,Non Depression,0
working old later episode picture fat ended screwed shoot ge,Non Depression,0
see sick cause sitting glad shower spent stand asap charger,Depression,1
going  ate  forgot  btw  thursday  hills  craigmille  williamjamescox  gabeatkins  underwood,Non Depression,0
sad  r  k  nope  keeps  twit  session  skip  healthy  invite,Depression,1
lot  party  enough  busy  full  hrs  parents  catch  road  wet,Non Depression,0
though  may  feels  sooo  chance  comes  goin  matter  updated  sports,Non Depression,0
around  yay  aw  eating  called  pay  round  straight  waste  bill,Non Depression,0
night  hour  half  scary  get  folks  creepy  japan  commercial  blues,Non Depression,0
gt  wtf  problem  nearly  myspace  yo  posted  aim  annoyed  tech,Depression,1
big  tell  site  answer  different  co  profile  bio  get  bt,Depression,1
big  tell  site  answer  different  co  profile  bio  get  bt,Depression,1
missed  class  hi  bus  cough  accident  messages  situation  seconds  pants,Depression,1
much  wan  na  every  amazing  died  person  boy  pic  words,Depression,1
help  place  three  cleaning  rip  packing  special  pages  get  goal,Depression,1
saw  call  totally  g  realized  ad  host  female  craigslist  agtherealist,Non Depression,0
done  came  nite  fell  loved  get  machine  joy  crack  health,Depression,1
give  outside  mum  light  trouble  window  meant  assignment  hopes  deleted,Depression,1
oh  man  meeting  top  wear  burnt  fave  ironing  pbr  sundance,Non Depression,0
bed  happy  wake  hopefully  tummy  cos  alive  glass  sickness  imma,Non Depression,0
 miss  dinner  remember  black  somewhere  shall  neither  visiting  someday  bay,Depression,1
flu  instead  breakfast  tuesday  apparently  isnt  dang  word  shut  wednesday,Depression,1
love sorry would damn show pain mad stage poop process,Depression,1
ok  win  wrong  stuff  run  wishes  wonder  turned  photos  empty,Non Depression,0
ill  ya  worse  story  pics  updates  living  art  interesting  takes,Depression,1
wish  could  say  heart  broken  ate  understand  killing  moms  get,Depression,1
stop  god  months  crying  teeth  non  honey  cousin  imagine  cnt,Depression,1
thanks  thank  slept  depressing  hun  mouth  kisses  brand  showed  difference,Depression,1
tomorrow  morning  tired  poor  two  start  anymore  keep  open  eyes,Depression,1
buy  computer  tried  doesnt  sadly  windows  afford  breaking  ohh  ends,Depression,1
mom  trying  coming  seems  rather  moment  get  kill  date  cats,Depression,1
th  leaving  tweets  tickets  beach  replies  hotel  loss  plane  feed,Depression,1
hope  hours  went  rain  times  fail  fast  fix  shopping  self,Depression,1
people  lt  always  crap  taking  check  business  tests  band  others,Non Depression,0
broke  free  link  works  hang  plan  dunno  fixed  dumb  massive,Depression,1
cold  end  hungry  paper  ah  screen  min  chicken  legs  shot,Non Depression,0
watching  hard  makes  weeks  unfortunately  told  chocolate  ice  project  hug,Non Depression,0
life  also  wow  studying  stuck  uni  decided  finding  clock  holidays,Depression,1
last  night  year  dream  disappointed  knee  fucked  get  kick  lay,Depression,1
house  happen  update  change  mac  knew  saying  store  outta  itunes,Non Depression,0
need  feel  better  take  care  seeing  basically  fool  rules  underwood,Non Depression,0
n  b  c  making  luck  close  set  h  ng  website,Depression,1
got  ta  room  awake  pm  not  can  high  em  da,Non Depression,0
time  everything  sounds  get  kind  annoying  happens  closed  definitely  craving,Non Depression,0
early  yet  little  us  anyone  money  used  waking  lie  hes,Depression,1
na  gon  phone  alone  dad  sigh  gets  earlier  using  get,Non Depression,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
